fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20221001 214315	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	82	TRUE	238001	0.271674382155803	0.604481543917023	177	783	9906	23470000	96
20221001 214434	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	385	TRUE	238001	0.0185200166565098	0.826862113261037	3148	80	10328	25830000	97
20221001 214514	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	132	TRUE	238001	0.0407560914842458	0.909693545958214	2365	997	8394	26180000	98
20221001 214610	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	255	TRUE	238001	0.0530310218540917	0.654558473358862	1539	220	9594	27220000	99
20221001 214634	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	86	TRUE	238001	0.179909698305655	0.513499654686265	3915	678	9028	25870000	100
20221001 214719	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	176	TRUE	238001	0.0417915706708573	0.357888731186464	3529	424	8580	26440000	101
20221001 214803	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	135	TRUE	238001	0.0397725932291569	0.400220238229446	1998	213	8270	26340000	102
20221001 214824	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	78	TRUE	238001	0.130467751424233	0.581397700471058	7160	1435	10605	25590000	103
20221001 214852	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	19	TRUE	238001	0.12987521362067	0.817943990280293	408	643	8539	25410000	104
20221001 214911	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	75	TRUE	238001	0.199651807924161	0.296231741950288	7038	2138	10003	25600000	105
20221001 214952	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	164	TRUE	238001	0.0302489285966067	0.720577117574215	4437	1611	8194	26340000	106
20221001 215018	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	103	TRUE	238001	0.148942240894652	0.361038037315197	6905	2727	9847	25910000	107
20221001 215036	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	47	TRUE	238001	0.134803500433601	0.464629366709292	5763	715	10248	25110000	108
20221001 215112	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	152	TRUE	238001	0.085245924312243	0.377059144267812	2963	1719	8400	26320000	109
20221001 215129	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	38	TRUE	238001	0.234164093492484	0.410996336659044	5330	2148	10397	24970000	110
20221001 215154	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	114	TRUE	238001	0.208262300550129	0.428347426409088	5877	1839	9388	26110000	111
20221001 215211	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	33	TRUE	238001	0.246303549733781	0.828558718977496	6626	2432	8122	25680000	112
20221001 215314	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	301	TRUE	238001	0.0275432084897114	0.253807107729465	5362	2017	8984	26040000	113
20221001 215333	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	45	TRUE	238001	0.207028622478994	0.559749341914989	2231	952	10485	25830000	114
20221001 215406	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	104	TRUE	238001	0.283633374665529	0.772807354854606	819	1934	8742	24200000	115
20221001 215419	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	33	TRUE	238001	0.256676847085516	0.988276831835881	4045	756	9115	25370000	116
20221001 215432	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	19	TRUE	238001	0.263469132801531	0.388824001070485	6633	393	8450	25340000	117
20221001 215450	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	55	TRUE	238001	0.142933613732973	0.705522684443183	2638	1794	10462	25400000	118
20221001 215505	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	54	TRUE	238001	0.222134546689823	0.703097740692832	7448	1183	10623	25160000	119
20221001 215522	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	14	TRUE	238001	0.159372381514966	0.408463733496703	1005	760	8992	25380000	120
20221001 215533	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	20	TRUE	238001	0.285825029690179	0.898111599028297	7269	1860	9483	25680000	121
20221001 215606	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	160	TRUE	238001	0.0907715251217736	0.941197068509087	2774	2955	10774	26060000	122
20221001 215722	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	262	TRUE	238001	0.02489770316771	0.689754355666041	1220	2514	9766	27910000	123
20221001 215921	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	385	TRUE	238001	0.0186869441985713	0.598227075905481	933	2524	9170	27420000	124
20221001 220200	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	361	TRUE	238001	0.0216607693345971	0.492412162974244	832	2579	8811	28140000	125
20221001 220413	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	285	TRUE	238001	0.0127615823364268	0.501527274891641	905	2621	8699	28130000	126
20221001 220940	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1008	TRUE	238001	0.0107583967438797	0.47946096114004	464	2596	8863	27400000	127
20221001 221120	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	352	TRUE	238001	0.0241856459308622	0.514059338170628	1191	2595	8628	27630000	128
20221001 221249	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	270	TRUE	238001	0.0157934031126889	0.471842363529373	2184	2022	8695	26770000	129
20221001 222046	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	560	TRUE	238001	0.0188258619146166	0.498850242271635	72	2589	9133	27420000	130
20221001 222242	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	288	TRUE	238001	0.0133949237138788	0.493684962233459	1189	1992	8098	27250000	131
20221001 222359	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	278	TRUE	238001	0.0324598195503116	0.670394827677519	1034	2371	9532	27580000	132
20221001 222516	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	187	TRUE	238001	0.0226687563741034	0.49195060867109	1520	3003	8970	27020000	133
20221001 222715	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	202	TRUE	238001	0.0215995392436568	0.510726180141608	355	2357	8296	27010000	134
20221001 222949	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	352	TRUE	238001	0.0212072359599051	0.479909101869338	416	2053	9211	27740000	135
20221001 223109	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	138	TRUE	238001	0.0269626534600906	0.498752549748439	537	2481	10072	27220000	136
20221001 223228	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	173	TRUE	238001	0.0209501079279444	0.53395416107055	1124	1555	8788	27070000	137
20221001 224037	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	403	TRUE	238001	0.0215563442325609	0.58086100413468	47	2974	8896	27410000	138
20221001 224131	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	151	TRUE	238001	0.0368582341113807	0.575254368476244	2091	2302	9662	26280000	139
20221001 224629	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	202	TRUE	238001	0.0346213351551082	0.967062695718951	23	2608	8689	26550000	140
20221001 224849	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	516	TRUE	238001	0.0216868369047103	0.503939690322379	796	2561	9433	27460000	141
20221001 225017	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	260	TRUE	238001	0.0177948390128059	0.493340518228982	1925	2552	8749	27230000	142
20221001 225138	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	192	TRUE	238001	0.0262823239835962	0.489401359536086	655	2238	8749	27390000	143
20221001 225316	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	368	TRUE	238001	0.0248903163594191	0.668251285412372	1088	2529	9531	27260000	144
20221001 225541	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	389	TRUE	238001	0.0215820332959562	0.498369286249683	568	2574	8616	27250000	145
20221001 225705	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	334	TRUE	238001	0.0299980256604575	0.688556677159341	1074	2191	9474	27460000	146
20221001 225838	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	239	TRUE	238001	0.0304851403816615	0.598311620915995	547	2670	9349	27310000	147
20221001 230045	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	456	TRUE	238001	0.0215460461231427	0.489849494446302	882	2647	9040	27360000	148
20221001 230213	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	333	TRUE	238001	0.0243609591138594	0.685116466139493	1150	2412	9582	27880000	149
20221001 230312	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	203	TRUE	238001	0.038829053265064	0.687361188182549	1280	2475	9697	27250000	150
20221001 230536	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	664	TRUE	238001	0.0179948261984251	0.676178504953452	1169	2293	9394	27780000	151
20221001 230808	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	313	TRUE	238001	0.0160832462131341	0.688815388915637	404	2496	9456	27410000	152
20221001 230943	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	441	TRUE	238001	0.0230439786469162	0.689922971481225	1581	2338	9932	26940000	153
20221001 231105	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	402	TRUE	238001	0.023590401804815	0.683542457510624	2264	2502	9376	26610000	154
20221001 231440	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	245	TRUE	238001	0.0237570884923397	0.678364158880576	142	2425	9686	26390000	155
20221001 231521	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	166	TRUE	238001	0.0674599413699575	0.613198120233603	4133	1052	10423	25880000	156
20221001 231537	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	37	TRUE	238001	0.119507517589022	0.947931626899354	3370	779	8445	26150000	157
20221001 231602	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	105	TRUE	238001	0.1746496909423	0.52424917237442	5040	1921	8231	25060000	158
20221001 231634	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	152	TRUE	238001	0.11632035085224	0.75702549879197	2950	2794	9587	26350000	159
20221001 231702	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	76	TRUE	238001	0.192784005232196	0.948628274002485	806	2395	8854	25820000	160
20221001 231732	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	158	TRUE	238001	0.154868730042067	0.43829830361288	6552	2163	8563	25680000	161
20221001 231804	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	53	TRUE	238001	0.106525326479585	0.551398135846481	700	2467	10237	25690000	162
